transcript_id,HBR_Rep1_ERCC-Mix2,HBR_Rep2_ERCC-Mix2,HBR_Rep3_ERCC-Mix2,UHR_Rep1_ERCC-Mix1,UHR_Rep2_ERCC-Mix1,UHR_Rep3_ERCC-Mix1
ENST00000743875,0,0,0,0,0,0
ENST00000743877,0,0,0,0,0,0
ENST00000590817,0,0,0,0,0,0
ENST00000744082,0,0,0,0,0,0
ENST00000743862,0,0,0,0,0,0
ENST00000744087,0,0,0,0,0,0
ENST00000743863,0,0,0,0,0,0
ENST00000743861,0,0,0,0,0,0
ENST00000744080,0,0,0,0,0,0
ENST00000745541,0,0,0,0,0,0
ENST00000744084,0,0,0,0,0,0
ENST00000745539,0,0,0,0,0,0
ENST00000744081,0,0,0,0,0,0
ENST00000745540,0,0,0,0,0,0
ENST00000744085,0,0,0,0,0,0
ENST00000744086,0,0,0,0,0,0
ENST00000326734,0,0,0,0,0,0
ENST00000473798,0,0,0,0,0,0
ENST00000624927,0,0,0,0,0,0
ENST00000745542,0,0,0,0,0,0
ENST00000745544,0,0,0,0,0,0
ENST00000745545,0,0,0,0,0,0
ENST00000745543,0,0,0,0,0,0
ENST00000745546,0,0,0,0,0,0
ENST00000744865,0,0,0,0,0,0
ENST00000685334,0,0,0,0,0,0
ENST00000744868,0,0,0,0,0,0
ENST00000744866,0,0,0,0,0,0
ENST00000744879,0,0,0,0,0,0
ENST00000623808,0,0,0,0,0,0
ENST00000744867,0,0,0,0,0,0
ENST00000744906,0,0,0,0,0,0
ENST00000744869,0,0,0,0,0,0
ENST00000744870,0,0,0,0,0,0
ENST00000659124,0,0,0,0,0,0
ENST00000666741,0,0,0,0,0,0
ENST00000685764,0,0,0,0,0,0
ENST00000669922,0,0,0,0,0,0
ENST00000685879,0,0,0,0,0,0
ENST00000623070,0,0,0,0,0,0
ENST00000701598,0,0,0,0,0,0
ENST00000667414,0,0,0,0,0,0
ENST00000445118,0,0,0,0,0,0
ENST00000416570,0,0,0,0,0,0
ENST00000670780,0,0,0,0,0,0
ENST00000610067,0,0,0,0,0,0
ENST00000744890,0,0,0,0,0,0
ENST00000688008,0,0,0,0,0,0
ENST00000688309,0,0,0,0,0,0
ENST00000449005,0,0,0,0,0,0
ENST00000685566,0,0,0,0,0,0
ENST00000441765,0,0,0,0,0,0
ENST00000658846,0,0,0,0,0,0
ENST00000744871,0,0,0,0,0,0
ENST00000608189,0,0,0,0,0,0
ENST00000448975,0,0,0,0,0,0
ENST00000744872,0,0,0,0,0,0
ENST00000661237,0,0,0,0,0,0
ENST00000686238,0,0,0,0,0,0
ENST00000744873,0,0,0,0,0,0
ENST00000609139,0,0,0,0,0,0
ENST00000609009,0,0,0,0,0,0
ENST00000744874,0,0,0,0,0,0
ENST00000744893,0,0,0,0,0,0
ENST00000744885,0,0,0,0,0,0
ENST00000701768,0,0,0,0,0,0
ENST00000657837,0,0,0,0,0,0
ENST00000744876,0,0,0,0,0,0
ENST00000744875,0,0,0,0,0,0
ENST00000691316,0,0,0,0,0,0
ENST00000692194,0,0,0,0,0,0
ENST00000702273,0,0,0,0,0,0
ENST00000744877,0,0,0,0,0,0
ENST00000702098,0,0,0,0,0,0
ENST00000744900,0,0,0,0,0,0
ENST00000668541,0,0,0,0,0,0
ENST00000691234,0,0,0,0,0,0
ENST00000702557,0,0,0,0,0,0
ENST00000702847,0,0,0,0,0,0
ENST00000744891,0,0,0,0,0,0
ENST00000744886,0,0,0,0,0,0
ENST00000744880,0,0,0,0,0,0
ENST00000744887,0,0,0,0,0,0
ENST00000744878,0,0,0,0,0,0
ENST00000744881,0,0,0,0,0,0
ENST00000744882,0,0,0,0,0,0
ENST00000744889,0,0,0,0,0,0
ENST00000657175,0,0,0,0,0,0
ENST00000744897,0,0,0,0,0,0
ENST00000660797,0,0,0,0,0,0
ENST00000744883,0,0,0,0,0,0
ENST00000622921,0,0,0,0,0,0
ENST00000744884,0,0,0,0,0,0
ENST00000744901,0,0,0,0,0,0
ENST00000744902,0,0,0,0,0,0
ENST00000744888,0,0,0,0,0,0
ENST00000744892,0,0,0,0,0,0
ENST00000744894,0,0,0,0,0,0
ENST00000744895,0,0,0,0,0,0
ENST00000744896,0,0,0,0,0,0
ENST00000744903,0,0,0,0,0,0
ENST00000670824,0,0,0,0,0,0
ENST00000688420,0,0,0,0,0,0
ENST00000744899,0,0,0,0,0,0
ENST00000415295,0,0,0,0,0,0
