gene_id,HBR_Rep1_ERCC-Mix2,HBR_Rep2_ERCC-Mix2,HBR_Rep3_ERCC-Mix2,UHR_Rep1_ERCC-Mix1,UHR_Rep2_ERCC-Mix1,UHR_Rep3_ERCC-Mix1
MSTRG.349|PEX26,331,376,303,485,296,398
MSTRG.349,1,1,1,1,1,1
MSTRG.350,0,0,0,0,0,0
MSTRG.351|ARL2BPP10,0,0,0,0,1,0
MSTRG.349|TUBA8,194,233,238,7,7,5
MSTRG.352,10,21,0,17,25,4
ENSG00000278044|FAM247B,0,0,0,0,0,0
MSTRG.366|TMEM191B,10,8,12,2,0,9
MSTRG.369|RN7SKP131,0,4,3,8,8,10
MSTRG.369|RIMBP3,2,4,4,9,10,11
MSTRG.371,0,0,0,0,0,0
MSTRG.376,0,0,0,0,0,0
MSTRG.367|PI4KAP1,76,78,102,283,168,181
MSTRG.368,0,0,0,0,0,0
MSTRG.377,5,5,5,4,2,3
MSTRG.377|GGT3P,0,0,0,0,0,0
MSTRG.378,0,0,0,0,0,0
MSTRG.379|E2F6P1,0,0,0,2,0,0
MSTRG.380|POM121L15P,0,0,0,4,4,2
MSTRG.377|BCRP7,0,0,0,0,0,0
MSTRG.381,1,0,0,0,0,0
MSTRG.354|FAM230A,1,0,0,0,0,0
MSTRG.355|GGTLC5P,0,0,0,0,0,0
MSTRG.356,0,0,0,4,3,0
MSTRG.357|FAM230J,1,0,0,0,0,0
MSTRG.358,0,0,0,0,0,0
MSTRG.359|PPP1R26P3,0,0,0,0,1,0
MSTRG.360,0,0,0,0,0,0
MSTRG.361,0,0,0,0,0,0
MSTRG.362,0,0,0,0,0,0
MSTRG.363,0,0,0,0,0,0
MSTRG.382|DGCR6,73,88,73,26,19,28
MSTRG.382,0,0,2,217,130,159
MSTRG.383|PRODH,121,144,126,53,34,40
MSTRG.389,0,0,0,0,3,0
MSTRG.389|CA15P1,2,0,0,0,0,0
MSTRG.385|DGCR5,620,681,572,31,18,28
MSTRG.386,0,0,0,0,0,0
MSTRG.385|CELSR1P1,0,0,0,0,0,0
MSTRG.387,0,4,0,0,0,0
MSTRG.388,0,1,0,1,1,3
MSTRG.385|FAM246C,7,18,14,0,0,0
MSTRG.385,1,1,1,0,1,0
MSTRG.390|DGCR2,657,739,637,700,367,573
MSTRG.391|Y_RNA,0,0,0,0,0,0
MSTRG.392|RPL28P6,0,0,0,0,2,0
MSTRG.394,0,2,0,0,0,0
MSTRG.395,0,0,0,0,0,0
MSTRG.396|ESS2,111,114,82,183,88,147
MSTRG.397|TSSK2,0,0,0,0,0,0
MSTRG.390|DGCR11,8,23,27,39,12,32
MSTRG.393,4,3,14,5,5,9
MSTRG.394|TSSK1A,2,0,0,0,5,3
MSTRG.399,9,3,0,7,11,5
MSTRG.400|LINC01311,7,12,21,30,15,24
MSTRG.401|SLC25A1,67,105,80,493,290,458
MSTRG.402|CLTCL1,63,80,72,206,125,152
MSTRG.403,0,0,0,0,0,0
MSTRG.404|RPL34P35,0,0,3,0,2,0
MSTRG.405,0,0,0,0,0,0
MSTRG.406|KRT18P62,0,0,0,0,0,0
MSTRG.412|UFD1,99,140,120,529,358,377
MSTRG.414,0,0,0,0,0,4
MSTRG.411|UFD1-AS1,7,11,0,0,14,5
MSTRG.413,1,0,0,1,1,1
MSTRG.408|HIRA,169,200,125,478,324,354
MSTRG.408|C22orf39,141,169,170,226,193,194
MSTRG.409|RN7SL168P,0,0,0,0,0,0
MSTRG.410|MRPL40,61,66,63,233,142,180
MSTRG.415|CDC45,0,0,0,465,287,355
MSTRG.416,0,12,0,0,0,0
MSTRG.417|CLDN5,129,181,123,0,3,0
MSTRG.418,0,0,0,0,0,0
MSTRG.419|SEPTIN5,1148,1578,1424,368,260,322
MSTRG.419,131,76,0,17,0,0
MSTRG.419|GP1BB,0,0,0,0,0,0
MSTRG.420,0,0,0,0,0,0
ENSG00000306238,0,0,0,0,0,0
ENSG00000298407,0,0,0,0,0,0
MSTRG.421|TBX1,0,0,0,11,18,17
MSTRG.422|GNB1L,29,47,16,90,92,70
MSTRG.423|RPL7AP70,0,0,0,0,0,2
MSTRG.424,0,1,0,0,0,0
MSTRG.422|RTL10,188,275,209,498,326,372
MSTRG.425,5,0,0,14,13,7
MSTRG.435|DGCR8,165,213,159,619,389,482
MSTRG.436,0,0,0,0,0,0
MSTRG.437|TRMT2A,122,170,104,430,198,301
MSTRG.438|RANBP1,105,153,148,1248,814,991
MSTRG.435|MIR3618,1,2,1,1,1,2
MSTRG.435|MIR1306,2,2,1,3,6,5
MSTRG.437,1,1,1,2,2,1
MSTRG.437|MIR6816,1,0,0,0,0,0
MSTRG.438|SNORA77B,1,1,3,3,1,1
MSTRG.440|CCDC188,0,0,0,0,3,4
MSTRG.441,0,6,0,7,0,6
MSTRG.426|TXNRD2,118,106,83,186,143,147
MSTRG.427|RPL8P5,0,0,3,6,4,0
MSTRG.428,0,0,0,0,0,0
MSTRG.429|COMT,207,238,201,513,263,400
MSTRG.430|ARVCF,294,308,270,169,73,101
MSTRG.431|TANGO2,138,202,172,258,139,155
MSTRG.432|MIR185,0,0,0,0,0,0
MSTRG.433,0,0,0,0,0,0
MSTRG.429|MIR4761,1,2,1,1,1,1
MSTRG.442|LINC02891,0,0,0,17,5,0
MSTRG.443|LINC00896,0,8,0,7,3,16
MSTRG.444,0,0,0,0,0,0
MSTRG.445|RTN4R,162,201,183,42,23,24
MSTRG.446|MIR1286,1,3,0,0,0,0
MSTRG.439|ZDHHC8,196,196,188,243,173,168
MSTRG.447|PRODHLP,0,0,0,0,0,0
MSTRG.450,18,9,17,10,0,4
MSTRG.448|DGCR6L,100,102,85,227,111,195
MSTRG.449,1,4,6,5,3,7
MSTRG.454|ZNF74,82,89,94,245,169,191
MSTRG.455|SCARF2,19,13,0,108,56,99
MSTRG.456,0,0,0,0,0,0
MSTRG.455,0,0,0,0,0,2
MSTRG.455|KLHL22,169,209,208,193,116,179
MSTRG.457|KLHL12P1,0,0,0,0,0,0
MSTRG.458|RNY1P9,0,0,0,0,0,0
MSTRG.459|Y_RNA,0,0,0,0,0,0
MSTRG.460|RN7SL812P,0,0,5,2,0,2
MSTRG.461|MED15,209,247,200,589,338,459
MSTRG.462,0,0,0,0,0,0
MSTRG.463,0,0,0,0,0,0
MSTRG.464|CCDC74BP1,0,0,0,0,0,0
MSTRG.464,0,0,0,0,0,0
MSTRG.455|KRT18P5,10,7,7,22,7,27
MSTRG.468|ABHD17AP4,0,0,4,0,0,3
MSTRG.465|SMPD4P1,0,0,0,0,0,0
MSTRG.465,6,6,0,0,0,0
MSTRG.466,0,0,0,0,2,0
MSTRG.466|IGLL4P,0,0,0,0,1,0
MSTRG.467|SLC9A3P2,0,0,0,0,0,0
MSTRG.469|POM121L4P,0,0,0,0,0,0
MSTRG.469,0,1,1,0,4,0
MSTRG.470,4,11,5,0,5,0
MSTRG.470|BCRP5,0,0,0,0,0,0
MSTRG.471|TMEM191A,12,18,14,0,3,14
MSTRG.477|LINC01637,10,0,0,0,11,0
MSTRG.476|CRKL,751,895,797,1699,1033,1327
ENSG00000187905|LRRC74B,0,0,0,0,0,0
MSTRG.486,12,12,9,8,12,7
MSTRG.487,0,0,0,2,0,0
MSTRG.486|BCRP2,0,0,0,0,0,0
MSTRG.488|POM121L7P,0,1,0,0,0,0
MSTRG.489|E2F6P2,0,0,0,0,0,0
MSTRG.490,0,0,0,0,0,0
MSTRG.486|FAM230B,0,0,0,0,0,0
MSTRG.491,0,0,0,0,0,0
MSTRG.472|PI4KA,2404,2585,2318,953,692,846
